player,team,role,Pts_hat,VORP,Price_final,FVM,Pv_hat,Mv_hat,G_hat,A_hat,YC_hat,RC_hat,OG_hat,AFCON_RISK,START_TIER,Mod_share_hat
Rovella,Lazio,C,193.927,7.879,18.542,22,32.3,6.11,0.0,2.936,12.724,0.0,0.0,0,starter,0.0
Isaksen,Lazio,C,120.135,0.0,18.133,45,24.7,4.68,2.003,2.27,5.875,0.401,0.0,0,battle,0.0
Tramoni M.,Pisa,C,178.482,0.0,16.866,42,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Neres,Napoli,C,89.376,0.0,16.445,41,13.3,6.32,1.064,2.66,1.064,0.0,0.0,0,backup,0.0
Gronbaek,Genoa,C,186.44,0.392,15.265,37,32.3,5.593,2.321,1.46,3.832,0.0,0.365,0,starter,0.0
Koopmeiners,Juventus,C,157.851,0.0,14.764,37,24.7,5.98,2.646,3.529,2.646,0.0,0.0,0,battle,0.0
Vandeputte,Cremonese,C,136.486,0.0,14.346,36,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Samardzic,Atalanta,C,154.393,0.0,13.927,35,24.7,6.09,1.764,0.0,2.646,0.0,0.0,0,battle,0.0
Saelemaekers,Milan,C,144.662,0.0,13.927,35,24.7,5.459,2.987,2.642,2.642,0.23,0.0,0,battle,0.0
Fofana Y.,Milan,C,82.742,0.0,13.51,34,13.3,6.03,0.391,2.347,1.956,0.0,0.0,0,backup,0.0
Da Cunha,Como,C,157.021,0.0,13.093,33,24.7,6.1,2.117,1.411,2.823,0.0,0.0,0,battle,0.0
Dele-Bashiru,Lazio,C,136.363,0.0,13.093,33,20.7,6.06,3.357,1.32,0.738,0.05,0.0,1,battle,0.0
Mkhitaryan,Inter,C,154.313,0.0,13.093,33,24.7,6.06,0.772,3.859,3.088,0.0,0.0,0,battle,0.0
Serdar,Verona,C,193.169,7.121,12.952,12,32.3,5.79,3.076,1.538,3.076,1.538,0.0,0,starter,0.0
Locatelli,Juventus,C,155.557,0.0,12.677,32,24.7,6.19,1.711,0.706,6.351,0.0,0.0,0,battle,0.0
Vazquez,Cremonese,C,136.486,0.0,11.846,30,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Carboni V.,Genoa,C,186.048,0.0,11.432,29,32.3,5.593,2.19,1.46,3.832,0.0,0.365,0,starter,0.0
Pasalic,Atalanta,C,153.836,0.0,11.018,28,24.7,5.91,2.245,1.497,0.748,0.0,0.0,0,battle,0.0
Baturina,Como,C,137.712,0.0,11.018,28,24.7,5.216,2.96,2.45,3.674,0.306,0.0,0,battle,0.0
Fazzini,Fiorentina,C,82.166,0.0,10.605,27,13.3,5.932,1.203,1.069,2.272,0.134,0.0,0,backup,0.0
Folorunsho,Cagliari,C,175.418,0.0,10.605,27,32.3,5.257,1.794,2.447,3.099,0.326,0.0,0,starter,0.0
Karlstrom,Udinese,C,186.773,0.725,10.277,14,32.3,5.85,0.0,1.746,7.857,0.0,0.0,0,starter,0.0
El Aynaoui,Roma,C,182.752,0.0,10.193,26,28.3,6.088,3.788,1.942,5.688,0.0,0.0,1,starter,0.0
Mandragora,Fiorentina,C,164.328,0.0,9.782,25,24.7,6.19,3.659,3.659,6.404,0.0,0.0,0,battle,0.0
Ricci S.,Milan,C,144.662,0.0,9.782,25,24.7,5.459,2.987,2.642,2.642,0.23,0.0,0,battle,0.0
Malinovskyi,Genoa,C,161.95,0.0,9.782,25,24.7,6.33,1.621,3.084,4.082,0.0,0.154,0,battle,0.0
Stanciu,Genoa,C,142.272,0.0,9.782,25,24.7,5.593,1.675,1.116,2.931,0.0,0.279,0,battle,0.0
Maldini,Atalanta,C,162.874,0.0,9.372,24,24.7,6.02,5.489,0.0,4.574,0.0,0.0,0,battle,0.0
Bernardeschi,Bologna,C,137.304,0.0,9.372,24,24.7,5.019,4.511,1.745,2.819,0.268,0.0,0,battle,0.0
Sucic P.,Inter,C,162.31,0.0,9.372,24,24.7,6.085,2.697,5.338,2.839,0.0,0.0,0,battle,0.0
Lovric,Udinese,C,151.093,0.0,9.372,24,24.7,5.96,1.411,1.411,3.529,0.0,0.0,0,battle,0.0
Fagioli,Fiorentina,C,149.312,0.0,9.372,24,24.7,5.92,1.029,2.058,4.117,0.0,0.0,0,battle,0.0
Helgason,Lecce,C,155.015,0.0,9.372,24,24.7,6.03,0.125,5.94,0.481,0.0,0.0,0,battle,0.0
Thorstvedt,Sassuolo,C,178.482,0.0,9.372,24,32.3,5.286,2.787,2.171,4.609,0.217,0.027,0,starter,0.0
Bondo,Cremonese,C,136.486,0.0,9.372,18,24.7,5.286,2.132,1.66,3.524,0.166,0.021,0,battle,0.0
Adopo,Cagliari,C,190.076,4.028,9.065,14,32.3,5.87,0.95,0.95,2.85,0.95,0.0,0,starter,0.0
Sottil,Lecce,C,123.296,0.0,8.962,23,24.7,4.882,0.831,1.808,3.206,0.0,0.0,0,battle,0.0
